"Decada","Nome","Total_Nome"
"1950s","James","1691642"
"1950s","Michael","1678624"
"1950s","Robert","1664220"
"1960s","Michael","1674136"
"1960s","David","1473418"
"1960s","John","1432728"
"1970s","Michael","1425586"
"1970s","Jennifer","1167376"
"1970s","Christopher","956890"
"1980s","Michael","1337448"
"1980s","Christopher","1116814"
"1980s","Jessica","942892"
"1990s","Michael","928420"
"1990s","Christopher","722446"
"1990s","Matthew","704630"
"2000s","Jacob","548330"
"2000s","Michael","502378"
"2000s","Joshua","464492"
"2010s","Sophia","208882"
"2010s","Emma","197552"
"2010s","Isabella","192890"
"2020s","Mary","5576452"
"2020s","John","4812746"
"2020s","James","4622386"
